2000 2000
0 0 0
0 0 0 2000
0 0 2000 0
4 0 4 2000
0 4 2000 4
8 0 8 2000
0 8 2000 8
12 0 12 2000
0 12 2000 12
16 0 16 2000
0 16 2000 16
20 0 20 2000
0 20 2000 20
24 0 24 2000
0 24 2000 24
28 0 28 2000
0 28 2000 28
32 0 32 2000
0 32 2000 32
36 0 36 2000
0 36 2000 36
40 0 40 2000
0 40 2000 40
44 0 44 2000
0 44 2000 44
48 0 48 2000
0 48 2000 48
52 0 52 2000
0 52 2000 52
56 0 56 2000
0 56 2000 56
60 0 60 2000
0 60 2000 60
64 0 64 2000
0 64 2000 64
68 0 68 2000
0 68 2000 68
72 0 72 2000
0 72 2000 72
76 0 76 2000
0 76 2000 76
80 0 80 2000
0 80 2000 80
84 0 84 2000
0 84 2000 84
88 0 88 2000
0 88 2000 88
92 0 92 2000
0 92 2000 92
96 0 96 2000
0 96 2000 96
100 0 100 2000
0 100 2000 100
104 0 104 2000
0 104 2000 104
108 0 108 2000
0 108 2000 108
112 0 112 2000
0 112 2000 112
116 0 116 2000
0 116 2000 116
120 0 120 2000
0 120 2000 120
124 0 124 2000
0 124 2000 124
128 0 128 2000
0 128 2000 128
132 0 132 2000
0 132 2000 132
136 0 136 2000
0 136 2000 136
140 0 140 2000
0 140 2000 140
144 0 144 2000
0 144 2000 144
148 0 148 2000
0 148 2000 148
152 0 152 2000
0 152 2000 152
156 0 156 2000
0 156 2000 156
160 0 160 2000
0 160 2000 160
164 0 164 2000
0 164 2000 164
168 0 168 2000
0 168 2000 168
172 0 172 2000
0 172 2000 172
176 0 176 2000
0 176 2000 176
180 0 180 2000
0 180 2000 180
184 0 184 2000
0 184 2000 184
188 0 188 2000
0 188 2000 188
192 0 192 2000
0 192 2000 192
196 0 196 2000
0 196 2000 196
200 0 200 2000
0 200 2000 200
204 0 204 2000
0 204 2000 204
208 0 208 2000
0 208 2000 208
212 0 212 2000
0 212 2000 212
216 0 216 2000
0 216 2000 216
220 0 220 2000
0 220 2000 220
224 0 224 2000
0 224 2000 224
228 0 228 2000
0 228 2000 228
232 0 232 2000
0 232 2000 232
236 0 236 2000
0 236 2000 236
240 0 240 2000
0 240 2000 240
244 0 244 2000
0 244 2000 244
248 0 248 2000
0 248 2000 248
252 0 252 2000
0 252 2000 252
256 0 256 2000
0 256 2000 256
260 0 260 2000
0 260 2000 260
264 0 264 2000
0 264 2000 264
268 0 268 2000
0 268 2000 268
272 0 272 2000
0 272 2000 272
276 0 276 2000
0 276 2000 276
280 0 280 2000
0 280 2000 280
284 0 284 2000
0 284 2000 284
288 0 288 2000
0 288 2000 288
292 0 292 2000
0 292 2000 292
296 0 296 2000
0 296 2000 296
300 0 300 2000
0 300 2000 300
304 0 304 2000
0 304 2000 304
308 0 308 2000
0 308 2000 308
312 0 312 2000
0 312 2000 312
316 0 316 2000
0 316 2000 316
320 0 320 2000
0 320 2000 320
324 0 324 2000
0 324 2000 324
328 0 328 2000
0 328 2000 328
332 0 332 2000
0 332 2000 332
336 0 336 2000
0 336 2000 336
340 0 340 2000
0 340 2000 340
344 0 344 2000
0 344 2000 344
348 0 348 2000
0 348 2000 348
352 0 352 2000
0 352 2000 352
356 0 356 2000
0 356 2000 356
360 0 360 2000
0 360 2000 360
364 0 364 2000
0 364 2000 364
